QingdaotransactionId,date,amount,description,type,owner,isIncome,location
0001,2024-01-01,200.00,supermarket shopping,0,0003,false,Beijing
0002,2024-01-02,50.00,purchase medicine,1,0004,false,Shanghai
0003,2024-01-03,150.00,going out to eat,2,0005,false,Guangzhou
0004,2024-01-04,3000.00,salary income,5,0006,true,Shenzhen
0005,2024-01-05,1000.00,rent expense,3,0007,false,Chengdu
0006,2024-01-06,80.00,buying fruit,0,0003,false,Hangzhou
0007,2025-04-07,30.00,health check fee,1,0004,false,Nanjing
0008,2024-01-08,200.00,going to the movies,4,0005,false,Wuhan
0009,2024-01-09,5000.00,project bonus,5,0006,true,Chongqing
0010,2024-01-10,1200.00,pay for utilities,3,0007,false,Xian
0011,2024-01-11,150.00,buy daily necessities,0,0003,false,Suzhou
0012,2024-01-12,60.00,register for a medical appointment,1,0004,false,Tianjin
0013,2024-01-13,300.00,banquet,2,0005,false,Changsha
0014,2024-01-14,2000.00,part-time income,5,0006,true,Qingdao
0015,2024-01-15,800.00,pay property fee,3,0007,false,Dalian
0016,2024-01-16,90.00,buy snacks,0,0003,false,Xiamen
0017,2024-01-17,40.00,Optical Fitting Fee,1,0004,false,Fuzhou
0018,2024-01-18,180.00,Karaoke,4,0005,false,Hefei
0019,2024-01-19,3500.00,Sales Commission,5,0006,true,Ningbo
0020,2024-01-20,1300.00,Rent Payment,3,0007,false,Wuxi
0021,2024-01-21,160.00,buy stationery,0,0003,false,Zhengzhou
0022,2024-01-22,70.00,dental treatment,1,0004,false,Jinan
0023,2024-01-23,250.00,have hotpot,2,0005,false,Shenyang
0024,2024-01-24,1800.00,labour remuneration,5,0006,true,Foshan
0025,2024-01-25,900.00,Internet fee,3,0007,false,Dongguan
0026,2024-01-26,100.00,Buying drinks,0,0003,false,Kunming
0027,2024-01-27,50.00,Massage relaxation,1,0004,false,Nanning
0028,2024-01-28,220.00,Amusement park visit,4,0005,false,Nanchang
0029,2024-01-29,4000.00,year-end bonus,5,0006,true,Guiyang
0030,2024-01-30,1400.00,rent expense,3,0007,false,Taiyuan
0031,2024-02-01,170.00,purchase of clothing,0,0003,false,Lanzhou
0032,2024-02-02,80.00,vaccination,1,0004,false,Xining
0033,2024-02-03,320.00,Eat Western cuisine,2,0005,false,Haikou
0034,2024-02-04,2200.00,Part-time income,5,0006,true,Yinchuan
0035,2024-02-05,1000.00,Pay utilities,3,0007,false,Urumqi
0036,2024-02-06,110.00,Buy fruit,0,0003,false,Lhasa
0037,2024-02-07,60.00,Physical Examination Fee,1,0004,false,Hohhot
0038,2024-02-08,240.00,Watch a Drama,4,0005,false,Harbin
0039,2024-02-09,4500.00,Project Commission,5,0006,true,Changchun
0040,2024-02-10,1500.00,Pay Rent,3,0007,false,Shijiazhuang
0041,2024-03-15,185.90,Biweekly Grocery Delivery,0,0004,false,Guangzhou
0042,2024-08-28,120.00,Annual Physical Exam Fee,1,0005,false,Chongqing
0043,2024-06-07,290.30,Restaurant Dinner Reservation,2,0007,false,Nanjing
0044,2024-10-01,8500.00,Monthly Pension Deposit,5,0006,true,Shanghai
0045,2024-02-19,380.80,Theme Park Annual Pass,4,0003,false,Qingdao
0047,2024-09-10,195.65,Skincare Routine Overhaul,7,0004,false,Hangzhou
0048,2024-01-03,85.20,Video Game Collector's Edition,11,0007,false,Wuhan
0049,2024-11-05,7800.50,Freelance Writing Payment,5,0003,true,Shenzhen
0050,2024-04-22,1950.90,Co-Working Space Annual Fee,3,0006,false,Tianjin
0051,2024-07-10,220.50,Farm-to-Table Vegetable Box,0,0003,false,Beijing
0052,2024-03-01,98.00,Allergy Testing Service,1,0004,false,Shanghai
0053,2024-09-15,350.70,Cafe Brunch Experience,2,0005,false,Guangzhou
0054,2024-06-20,6500.00,Stock Dividend Payout,5,0007,true,Shenzhen
0055,2024-12-25,450.00,Concert VIP Package,4,0006,false,Chengdu
0057,2024-08-05,320.80,High-End Skincare Set,7,0005,false,Nanjing
0058,2024-05-12,75.00,Gaming Keyboard and Mouse,11,0003,false,Wuhan
0059,2024-10-28,9200.00,Photography Gig Earnings,5,0007,true,Chongqing
0060,2024-03-22,2200.00,Monthly Rent Payment,3,0006,false,Xi'an
0061,2024-07-03,190.50,Gluten-Free Pantry Restock,0,0003,false,Suzhou
0062,2024-02-14,110.00,Orthopedic Pillow Purchase,1,0004,false,Tianjin
0063,2024-08-22,380.30,Food Truck Festival Visit,2,0005,false,Changsha
0064,2024-06-11,7200.00,Affiliate Marketing Commission,5,0007,true,Qingdao
0065,2024-11-18,480.00,Magic Show,4,0006,false,Dalian
0067,2024-09-02,395.65,Makeup Artist Kit,7,0005,false,Fuzhou
0068,2024-01-15,65.00,Online Game Subscription,11,0003,false,Hefei
0069,2024-12-01,8800.50,Tutoring Service Income,5,0007,true,Ningbo
0070,2024-03-18,2400.00,Rental Deposit,3,0006,false,Wuxi
0071,2024-07-25,205.90,International Food Aisle Purchase,0,0003,false,Zhengzhou
0072,2024-02-28,130.00,CPAP Machine Maintenance,1,0004,false,Jinan
0073,2024-09-30,330.70,Fine Dining Tasting Menu,2,0005,false,Shenyang
0074,2024-06-03,6800.00,Rental Property Income,5,0007,true,Foshan
0075,2024-11-10,430.00,Theater Season Pass,4,0006,false,Dongguan
0077,2024-08-18,385.65,Luxury Fragrance Collection,7,0005,false,Nanning
0078,2024-05-28,80.00,Board Game Expansion,11,0003,false,Nanchang
0079,2024-10-08,9500.50,Rideshare Driver Earnings,5,0007,true,Guiyang
0080,2024-03-28,2600.00,Co-Working Space Fee,3,0006,false,Taiyuan
0081,2024-07-12,215.90,Pet Treats & Supplies,0,0003,false,Lanzhou
0082,2024-02-20,140.00,Natural Supplement Subscription,1,0004,false,Xining
0083,2024-09-25,340.70,Cooking Class for Couples,2,0005,false,Haikou
0084,2024-06-13,7000.00,Online Survey Rewards,5,0007,true,Yinchuan
0085,2024-11-20,440.00,Circus Performance,4,0006,false,Urumqi
0087,2024-08-25,375.65,Professional Hair Styling Tools,7,0005,false,Hohhot
0088,2024-05-08,85.00,Tabletop RPG Starter Set,11,0003,false,Harbin
0089,2024-10-18,9300.50,Selling Used Electronics,5,0007,true,Changchun
0090,2024-03-08,2700.00,Storage Unit Rent,3,0006,false,Shijiazhuang
0091,2024-07-08,225.90,Zero-Waste Cleaning Kit,0,0003,false,Qingdao
0092,2024-02-08,150.00,Sports Massage Session,1,0004,false,Shanghai
0093,2024-09-12,350.70,Gourmet Food Tour,2,0005,false,Guangzhou
0094,2024-06-23,7300.00,Real Estate Commission,5,0007,true,Shenzhen
0095,2024-11-28,450.00,Music Festival Weekend Pass,4,0006,false,Chengdu
0097,2024-08-08,365.65,Organic Beauty Gift Set,7,0005,false,Nanjing
0098,2024-05-18,90.00,Gaming Chair and Desk,11,0003,false,Wuhan
0099,2024-10-25,9400.50,Music Streaming Royalties,5,0007,true,Chongqing
0100,2024-03-12,2800.00,Parking Space Rent,3,0006,false,Xi'an
0101,2024-07-20,235.90,Bulk Coffee Bean Purchase,0,0003,false,Suzhou
0102,2024-02-12,160.00,Mental Health Counseling,1,0004,false,Tianjin
0103,2024-09-08,360.70,Wine Pairing Dinner,2,0005,false,Changsha
0104,2024-06-08,7400.00,Patreon Subscriber Payments,5,0007,true,Qingdao
0105,2024-11-08,460.00,Arcade Game Marathon,4,0006,false,Dalian
0107,2024-08-02,355.65,Nail Art Studio,7,0005,false,Fuzhou
0108,2024-05-22,95.00,Game Controller Charger,11,0003,false,Hefei
0109,2024-10-02,9100.50,Conference Speaking Honorarium,5,0007,true,Ningbo
0110,2024-03-22,2900.00,Lease Agreement Fee,3,0006,false,Wuxi
0111,2024-07-22,245.90,Artisan Bread & Pastries,0,0003,false,Zhengzhou
0112,2024-02-22,170.00,Acupuncture Treatment,1,0004,false,Jinan
0113,2024-09-22,370.70,Foodie Market Adventure,2,0005,false,Shenyang
0114,2024-06-18,7600.00,Website Ad Revenue Payout,5,0007,true,Foshan
0115,2024-11-12,470.00,Magic Show,4,0006,false,Dongguan
0117,2024-08-22,345.65,Beauty Blender and Sponge Set,7,0005,false,Nanning
0118,2024-05-02,100.00,Gaming Headset,11,0003,false,Nanchang
0119,2024-10-22,9000.50,Referral Bonus for Insurance,5,0007,true,Guiyang
0120,2024-03-02,3000.00,Rental Insurance,3,0006,false,Taiyuan
0121,2024-07-02,255.90,Seasonal Fruit Basket,0,0003,false,Lanzhou
0122,2024-02-02,180.00,Prescription Eyeglasses,1,0004,false,Xining
0123,2024-09-17,380.70,Seafood Buffet Feast,2,0005,false,Haikou
0124,2024-06-17,7700.00,Selling Digital Artwork,5,0007,true,Yinchuan
0125,2024-11-17,480.00,Carnival Ride Wristband,4,0006,false,Urumqi
0127,2024-08-17,335.65,Mineral Makeup Collection,7,0005,false,Hohhot
0128,2024-05-07,105.00,Video Game Strategy Guide,11,0003,false,Harbin
0129,2024-10-17,8900.50,Teaching Online Course Fees,5,0007,true,Changchun
0130,2024-03-17,3100.00,Short-Term Rental,3,0006,false,Shijiazhuang
0131,2024-07-07,265.90,Canned Goods Emergency Stock,0,0003,false,Qingdao
0132,2024-02-07,190.00,Sleep Apnea Consultation,1,0004,false,Shanghai
0133,2024-09-13,390.70,Vegetarian Food Festival,2,0005,false,Guangzhou
0134,2024-06-27,7800.00,Consulting Service Invoice,5,0007,true,Shenzhen
0135,2024-11-27,490.00,Escape Room Adventure,4,0006,false,Chengdu
0137,2024-08-07,325.65,Hair Extension Purchase,7,0005,false,Nanjing
0138,2024-05-17,110.00,Mobile Game In-App Purchase,11,0003,false,Wuhan
0139,2024-10-27,8600.50,Selling Vintage Clothing,5,0007,true,Chongqing
0140,2024-03-27,3200.00,Property Management Fee,3,0006,false,Xi'an
0141,2024-07-27,275.90,Organic Baby Food Selection,0,0003,false,Suzhou
0142,2024-02-27,200.00,Herbal Remedy Purchase,1,0004,false,Tianjin
0143,2024-09-27,400.70,Chocolate Tasting Event,2,0005,false,Changsha
0144,2024-06-07,7900.00,Affiliate Program Payout,5,0007,true,Qingdao
0145,2024-11-07,500.00,Laser Tag Party,4,0006,false,Dalian
0147,2024-08-27,315.65,Eyelash Growth Serum,7,0005,false,Fuzhou
0148,2024-05-27,115.00,Game Card Booster Pack,11,0003,false,Hefei
0149,2024-10-07,8700.50,Royalties for Podcast,5,0007,true,Ningbo
0150,2024-03-07,3300.00,Security Deposit Refund,3,0006,false,Wuxi
0151,2024-07-13,285.90,Specialty Tea Collection,0,0003,false,Zhengzhou
0152,2024-02-13,210.00,Physical Therapy Equipment,1,0004,false,Jinan
0153,2024-09-03,410.70,Farm-to-Table Dinner,2,0005,false,Shenyang
0154,2024-06-13,8000.00,Renting Out Parking Space,5,0007,true,Foshan
0155,2024-11-13,510.00,Bowling Night Out,4,0006,false,Dongguan
0157,2024-08-13,305.65,Brow Sculpting Kit,7,0005,false,Nanning
0158,2024-05-03,120.00,Arcade Game Machine,11,0003,false,Nanchang
0159,2024-10-13,8800.50,Selling Homemade Soap,5,0007,true,Guiyang
0160,2024-03-13,3400.00,Rent Increase Notice,3,0006,false,Taiyuan
0161,2024-07-03,295.90,Ethically Sourced Chocolate,0,0003,false,Lanzhou
0162,2024-02-03,220.00,Dermatology Consultation,1,0004,false,Xining
0163,2024-09-18,420.70,Artisanal Food Fair,2,0005,false,Haikou
0164,2024-06-28,8200.00,Freelance Graphic Design,5,0007,true,Yinchuan
0165,2024-11-23,520.00,Miniature Golf Tournament,4,0006,false,Urumqi
0167,2024-08-03,295.65,Lipstick Sampler Set,7,0005,false,Hohhot
0168,2024-05-13,125.00,Pinball Machine,11,0003,false,Harbin
0169,2024-10-23,8400.50,Monthly Pension Deposit,5,0007,true,Changchun
0170,2024-03-23,3500.00,Rental Application Fee,3,0006,false,Shijiazhuang
0171,2024-07-23,305.90,Plant-Based Protein Shopping,0,0003,false,Qingdao
0172,2024-02-23,230.00,Nutritionist Consultation,1,0004,false,Shanghai
0173,2024-09-23,430.70,Food and Wine Festival,2,0005,false,Guangzhou
0174,2024-06-13,8300.00,Stock Dividend Payout,5,0007,true,Shenzhen
0175,2024-11-03,530.00,Roller Skating Rink Visit,4,0006,false,Chengdu
0177,2024-08-13,285.65,Foundation Finder Service,7,0005,false,Nanjing
0178,2024-05-03,130.00,Gaming Console Accessories,11,0003,false,Wuhan
0179,2024-10-03,8100.50,Freelance Writing Payment,5,0007,true,Chongqing
0180,2024-03-03,3600.00,Furnished Apartment Rent,3,0006,false,Xi'an
0181,2024-07-18,315.90,Reusable Produce Bags,0,0003,false,Suzhou
0182,2024-02-18,240.00,Medical Alert System,1,0004,false,Tianjin
0183,2024-09-08,440.70,Pizza Making Workshop,2,0005,false,Changsha
0184,2024-06-28,8400.00,Photography Gig Earnings,5,0007,true,Qingdao
0185,2024-11-18,540.00,Ice Skating Show,4,0006,false,Dalian
0187,2024-08-08,275.65,Body Scrub and Lotion Set,7,0005,false,Fuzhou
0188,2024-05-28,135.00,Online Multiplayer Game,11,0003,false,Hefei
0189,2024-10-28,7900.50,Tutoring Service Income,5,0007,true,Ningbo
0190,2024-03-28,3700.00,Roommate Rent Split,3,0006,false,Wuxi
0191,2024-07-08,325.90,Gourmet Olive Oil & Vinegar,0,0003,false,Zhengzhou
0192,2024-02-08,250.00,Chiropractic Adjustment,1,0004,false,Jinan
0193,2024-09-28,450.70,Gourmet Ice Cream Tasting,2,0005,false,Shenyang
0194,2024-06-08,8500.00,Rideshare Driver Earnings,5,0007,true,Foshan
0195,2024-11-08,550.00,Amusement Park Season Pass,4,0006,false,Dongguan
0197,2024-08-18,265.65,Facial Steamer and Brush,7,0005,false,Nanning
0198,2024-05-18,140.00,Indie Game Bundle,11,0003,false,Nanchang
0199,2024-10-18,8200.50,Online Survey Rewards,5,0007,true,Guiyang
0200,2024-03-18,3800.00,Commercial Space Lease,3,0006,false,Taiyuan
0201,2024-03-20,150.00,Monthly salary,5,0004,true,Office
0202,2024-03-20,45.50,Grocery shopping at Walmart,0,0004,false,Walmart
0203,2024-03-20,80.00,Dinner at Italian restaurant,2,0004,false,Italian Restaurant
0204,2024-03-20,1200.00,Monthly rent payment,3,0004,false,Apartment
0205,2024-03-20,25.00,Movie tickets,4,0004,false,Cinema
0206,2024-03-20,35.00,Medicine purchase,1,0004,false,Pharmacy
0208,2024-03-20,50.00,Makeup products,7,0004,false,Beauty Store
0209,2024-03-20,200.00,Weekend trip,8,0004,false,Beach Resort
0210,2024-03-20,30.00,Metro card recharge,9,0004,false,Metro Station
0211,2024-03-21,2000.00,Project bonus,5,0004,true,Company
0212,2024-03-21,65.00,Organic vegetables and fruits,0,0004,false,Whole Foods
0213,2024-03-21,95.00,Annual health checkup,1,0004,false,Hospital
0214,2024-03-21,55.00,Brunch with friends,2,0004,false,Cafe
0215,2024-03-21,45.00,Concert tickets,4,0004,false,Music Hall
0216,2024-03-21,29.99,Online course subscription,10,0004,false,Online
0217,2024-03-21,40.00,Skincare products,7,0004,false,Beauty Store
0218,2024-03-21,150.00,Hotel booking,8,0004,false,Hotel
0219,2024-03-21,25.00,Taxi fare,9,0004,false,City
0220,2024-03-21,59.99,New game purchase,11,0004,false,Game Store
0221,2024-03-22,1800.00,Part-time job payment,5,0004,true,Office
0222,2024-03-22,75.00,Household supplies,0,0004,false,Supermarket
0223,2024-03-22,120.00,Dental checkup,1,0004,false,Dental Clinic
0224,2024-03-22,85.00,Family dinner,2,0004,false,Restaurant
0225,2024-03-22,35.00,Book purchase,10,0004,false,Bookstore
0226,2024-03-22,45.00,Perfume,7,0004,false,Department Store
0227,2024-03-22,300.00,Weekend getaway,8,0004,false,Mountain Resort
0228,2024-03-22,40.00,Bus pass,9,0004,false,Bus Station
0230,2024-03-22,49.99,Gaming console game,11,0004,false,Game Store
0231,2024-03-23,2500.00,Consulting fee,5,0004,true,Client Office
0232,2024-03-23,85.00,Specialty grocery items,0,0004,false,Specialty Store
0233,2024-03-23,150.00,Prescription medication,1,0004,false,Pharmacy
0234,2024-03-23,120.00,Business lunch,2,0004,false,Business Center
0235,2024-03-23,60.00,Theater tickets,4,0004,false,Theater
0236,2024-03-23,199.99,Online certification course,10,0004,false,Online
0237,2024-03-23,70.00,Luxury skincare set,7,0004,false,Luxury Store
0238,2024-03-23,400.00,Business trip,8,0004,false,Airport
0239,2024-03-23,50.00,Ride sharing,9,0004,false,City
0241,2024-03-24,3000.00,Project milestone payment,5,0004,true,Company
0242,2024-03-24,95.00,Party supplies,0,0004,false,Party Store
0243,2024-03-24,200.00,Specialist consultation,1,0004,false,Medical Center
0244,2024-03-24,150.00,Group dinner,2,0004,false,Restaurant
0245,2024-03-24,80.00,Theme park tickets,4,0004,false,Theme Park
0246,2024-03-24,299.99,Professional workshop,10,0004,false,Training Center
0247,2024-03-24,90.00,Makeup collection,7,0004,false,Beauty Store
0248,2024-03-24,500.00,International trip,8,0004,false,Airport
0249,2024-03-24,60.00,Car maintenance,9,0004,false,Auto Shop
0250,2025-03-15,1500,哥们牛逼吧,5,0004,true,beijing
